population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,1,Male,7,10-14 years,572,Eating disorders,1,Number,2023,413014.7761670367,683688.9614053837,247329.97321597944
1,All Population,5,Prevalence,1,Global,2,Female,7,10-14 years,572,Eating disorders,1,Number,2023,986080.750288422,1497255.2669421665,619090.5922391133
1,All Population,5,Prevalence,1,Global,1,Male,8,15-19 years,572,Eating disorders,1,Number,2023,934414.9519217442,1583844.9318032088,554430.4739164605
1,All Population,5,Prevalence,1,Global,2,Female,8,15-19 years,572,Eating disorders,1,Number,2023,2190760.633474789,3557988.630490649,1398000.975628579
1,All Population,5,Prevalence,1,Global,1,Male,9,20-24 years,572,Eating disorders,1,Number,2023,843088.1717667339,1476816.4145005215,499287.7005656238
1,All Population,5,Prevalence,1,Global,2,Female,9,20-24 years,572,Eating disorders,1,Number,2023,2091184.580665972,3452984.605923504,1295223.9854706705
1,All Population,5,Prevalence,1,Global,1,Male,10,25-29 years,572,Eating disorders,1,Number,2023,833121.8612618906,1338060.8225286482,551907.7557139129
1,All Population,5,Prevalence,1,Global,2,Female,10,25-29 years,572,Eating disorders,1,Number,2023,1913699.5736053656,3013118.009933789,1345947.4009102732
1,All Population,5,Prevalence,1,Global,1,Male,11,30-34 years,572,Eating disorders,1,Number,2023,901924.9762981412,1362543.583014218,603857.1791218702
1,All Population,5,Prevalence,1,Global,2,Female,11,30-34 years,572,Eating disorders,1,Number,2023,1753702.584046451,2482655.113497456,1274722.8115320615
1,All Population,5,Prevalence,1,Global,1,Male,12,35-39 years,572,Eating disorders,1,Number,2023,735857.2090062688,1098272.1628095475,495019.5755799375
1,All Population,5,Prevalence,1,Global,2,Female,12,35-39 years,572,Eating disorders,1,Number,2023,1400395.5323890238,2008927.7763832104,997045.4758171558
1,All Population,5,Prevalence,1,Global,1,Male,13,40-44 years,572,Eating disorders,1,Number,2023,393474.7837993649,561860.4355259797,262534.610566896
1,All Population,5,Prevalence,1,Global,2,Female,13,40-44 years,572,Eating disorders,1,Number,2023,854708.2525950925,1198027.181582115,625897.6283548496
1,All Population,5,Prevalence,1,Global,1,Male,14,45-49 years,572,Eating disorders,1,Number,2023,205061.87334909115,300960.68801577354,132999.55587039771
1,All Population,5,Prevalence,1,Global,2,Female,14,45-49 years,572,Eating disorders,1,Number,2023,511972.2242238561,716305.6805782809,360796.9568357209
1,All Population,5,Prevalence,1,Global,1,Male,15,50-54 years,572,Eating disorders,1,Number,2023,118050.1290566186,178945.23262293212,72104.07683988444
1,All Population,5,Prevalence,1,Global,2,Female,15,50-54 years,572,Eating disorders,1,Number,2023,331891.60825143283,477910.52351222327,228930.9703668038
1,All Population,5,Prevalence,1,Global,1,Male,16,55-59 years,572,Eating disorders,1,Number,2023,62537.570377076525,102263.42713034865,37454.232374266125
1,All Population,5,Prevalence,1,Global,2,Female,16,55-59 years,572,Eating disorders,1,Number,2023,206748.5158045005,308654.361574132,139332.61734036388
